animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
11,learner,84,DMS-ACC,naive,13286,20,67,106,20,0.0587,1,0.0261,-0.101,0,0.3048,0.6164,0.2709,0.2975,88.17,89.12
11,learner,84,DMS-ACC,intermediate,9865,20,67,106,20,0.222,1,0.0253,0.1181,8,0.4088,0.5764,0.2604,0.315,47.22,83.29
11,learner,84,DMS-ACC,expert,10602,20,67,106,20,0.2211,0,0.0,-0.0154,0,0.3029,0.5642,0.3689,0.3709,70.87,61.68
11,learner,84,DLS-ACC,naive,13286,5,67,121,5,0.1283,1,0.0083,0.0648,3,0.3968,0.6448,0.3624,0.4065,83.81,76.36
11,learner,84,DLS-ACC,intermediate,9865,5,67,121,5,-0.2978,0,0.0,0.0024,-17,0.6776,0.6369,0.3625,0.3946,16.5,58.33
11,learner,84,DLS-ACC,expert,10602,5,67,121,5,0.0542,2,0.4069,-0.0343,-2,0.5038,0.6059,0.2667,0.3747,82.86,89.24
11,learner,84,V1-DMS,naive,13286,67,20,106,20,-0.0013,0,0.0,-0.0123,0,0.6426,0.3078,0.2405,0.1853,53.4,74.41
11,learner,84,V1-DMS,intermediate,9865,67,20,106,20,0.0908,0,0.0,-0.0189,0,0.5,0.4065,0.2917,0.226,74.25,83.33
11,learner,84,V1-DMS,expert,10602,67,20,106,20,0.075,0,0.0,0.0461,9,0.5051,0.3,0.2567,0.2128,80.08,63.71
11,learner,84,V1-DLS,naive,13286,67,5,121,5,-0.1304,0,0.0,-0.0146,18,0.6807,0.3929,0.3586,0.1081,85.26,82.51
11,learner,84,V1-DLS,intermediate,9865,67,5,121,5,0.0988,3,0.0228,-0.0408,-11,0.5357,0.6777,0.3396,0.3567,88.91,74.72
11,learner,84,V1-DLS,expert,10602,67,5,121,5,0.2847,2,0.0811,-0.0577,-15,0.5129,0.4808,0.4331,0.5401,82.32,47.78
