animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x_cc1,sh_y_cc1
11,learner,84,V1-DMS,expert,4243,54,20,95,20,0.0258,0,0.0,-0.0825,0,0.4602,0.294,87.17,24.28
11,learner,84,V1-DLS,naive,5331,54,5,110,5,-0.1675,0,0.0,-0.042,-2,0.599,0.4185,83.87,59.98
11,learner,84,V1-DLS,intermediate,3929,54,5,110,5,0.0513,2,0.0775,-0.0362,-2,0.4693,0.6858,81.46,51.61
11,learner,84,V1-DLS,expert,4243,54,5,110,5,0.3932,3,0.1393,-0.0835,0,0.481,0.4914,65.81,13.3
11,learner,84,V1-ACC,naive,5331,54,62,53,20,0.0301,0,0.0,0.0205,1,0.5582,0.5424,86.14,87.22
11,learner,84,V1-ACC,intermediate,3929,54,62,53,20,0.2063,5,0.198,-0.0161,0,0.4095,0.5009,54.83,65.87
11,learner,84,V1-ACC,expert,4243,54,62,53,20,0.0006,1,0.0225,0.0215,0,0.4608,0.4799,65.92,65.82
11,learner,84,CA1-DMS,naive,5331,23,20,126,20,-0.3354,2,0.0367,0.0128,0,0.3616,0.3342,85.75,58.47
11,learner,84,CA1-DMS,intermediate,3929,23,20,126,20,0.1967,0,0.0,0.0625,0,0.2793,0.4051,77.34,86.65
11,learner,84,CA1-DMS,expert,4243,23,20,126,20,0.0364,0,0.0,-0.0914,-1,0.2308,0.2957,78.77,75.85
11,learner,84,CA1-DLS,naive,5331,23,5,141,5,0.0083,0,0.0,0.0507,0,0.4156,0.4172,24.06,73.98
11,learner,84,CA1-DLS,intermediate,3929,23,5,141,5,0.2904,1,0.0441,-0.0021,-1,0.3875,0.6861,89.81,78.31
11,learner,84,CA1-DLS,expert,4243,23,5,141,5,0.2814,2,0.1724,-0.0289,0,0.3754,0.5074,65.57,70.12
11,learner,84,CA1-ACC,naive,5331,23,62,84,20,-0.2328,2,0.0405,0.0063,0,0.3609,0.5421,76.89,89.68
11,learner,84,CA1-ACC,intermediate,3929,23,62,84,20,0.347,4,0.161,0.035,0,0.2784,0.5005,81.51,46.18
11,learner,84,CA1-ACC,expert,4243,23,62,84,20,0.1398,2,0.0736,-0.0692,-1,0.23,0.4817,79.67,84.91
11,learner,84,CA1-V1,naive,5331,23,54,92,20,0.1215,1,0.0129,0.0178,0,0.3625,0.5601,68.48,85.87
