animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
13,learner,23,DLS-ACC,naive,7294,6,7,0,6,0.0746,0,0.0,-0.0644,0,0.4065,0.4114,0.5796,0.4735,89.74,77.74
13,learner,23,DLS-ACC,intermediate,8216,6,7,0,6,0.0362,0,0.0,-0.0106,8,0.6536,0.3792,0.4258,0.3516,73.86,58.05
13,learner,23,DLS-ACC,expert,7514,6,7,0,6,0.0502,0,0.0,0.0531,4,0.7473,0.3004,0.3566,0.2149,26.63,80.13
13,learner,23,V1-DMS,naive,7294,64,8,0,8,0.0126,0,0.0,0.0632,9,0.5844,0.5284,0.2899,0.2874,81.47,74.44
13,learner,23,V1-DMS,intermediate,8216,64,8,0,8,0.0898,0,0.0,-0.0278,-10,0.5751,0.5343,0.2749,0.3152,59.58,75.53
13,learner,23,V1-DMS,expert,7514,64,8,0,8,0.0256,0,0.0,0.0253,4,0.5334,0.5131,0.2227,0.2536,80.52,37.04
13,learner,23,V1-DLS,naive,7294,64,6,0,6,-0.0106,0,0.0,0.1366,4,0.5884,0.4065,0.3387,0.1968,81.0,60.7
13,learner,23,V1-DLS,intermediate,8216,64,6,0,6,0.1312,0,0.0,-0.0348,-4,0.5629,0.6536,0.3217,0.4135,64.47,38.08
13,learner,23,V1-DLS,expert,7514,64,6,0,6,0.1547,1,0.0121,-0.0693,-1,0.5298,0.7473,0.3395,0.3668,47.27,23.48
13,learner,23,V1-ACC,naive,7294,64,7,0,7,0.0517,0,0.0,0.0374,3,0.5741,0.439,0.3316,0.2296,58.17,20.91
13,learner,23,V1-ACC,intermediate,8216,64,7,0,7,0.094,0,0.0,0.0156,9,0.5473,0.393,0.25,0.1334,61.02,15.47
13,learner,23,V1-ACC,expert,7514,64,7,0,7,0.0783,0,0.0,0.0745,2,0.5373,0.2907,0.257,0.1121,77.96,83.5
13,learner,23,CA1-DMS,naive,7294,24,8,0,8,0.0141,0,0.0,0.001,4,0.3889,0.5284,0.3434,0.3254,69.03,52.98
13,learner,23,CA1-DMS,intermediate,8216,24,8,0,8,0.0842,0,0.0,-0.0551,10,0.4001,0.5343,0.4023,0.4028,66.84,84.83
13,learner,23,CA1-DMS,expert,7514,24,8,0,8,0.1487,1,0.0112,0.0366,0,0.3224,0.5131,0.3518,0.396,39.06,66.26
13,learner,23,CA1-DLS,naive,7294,24,6,0,6,0.0147,0,0.0,0.0525,8,0.3946,0.4065,0.3211,0.1466,87.53,74.24
13,learner,23,CA1-DLS,intermediate,8216,24,6,0,6,0.0833,0,0.0,-0.0576,-1,0.3248,0.6536,0.3265,0.4385,55.74,64.7
13,learner,23,CA1-DLS,expert,7514,24,6,0,6,0.0562,0,0.0,-0.0483,-5,0.347,0.7473,0.2539,0.187,75.08,51.25
13,learner,23,CA1-ACC,naive,7294,24,7,0,7,0.085,0,0.0,0.0402,0,0.4065,0.439,0.345,0.2212,57.46,77.14
13,learner,23,CA1-ACC,intermediate,8216,24,7,0,7,0.0658,0,0.0,0.0217,2,0.3305,0.393,0.3067,0.1355,71.31,34.65
13,learner,23,CA1-ACC,expert,7514,24,7,0,7,0.1223,1,0.0075,0.0005,1,0.3333,0.2907,0.3322,0.271,45.08,59.25
13,learner,23,CA1-V1,naive,7294,24,64,0,20,0.2807,2,0.0546,0.0516,1,0.3364,0.5468,0.3027,0.3039,37.12,37.79
13,learner,23,CA1-V1,intermediate,8216,24,64,0,20,0.3734,1,0.0751,0.0159,0,0.3032,0.5448,0.3279,0.3061,19.52,22.54
13,learner,23,CA1-V1,expert,7514,24,64,0,20,0.3732,1,0.075,-0.0234,0,0.232,0.5274,0.2946,0.2889,31.29,19.07
14,learner,39,DMS-DLS,naive,5899,31,26,0,20,0.1054,0,0.0,-0.0451,-4,0.4494,0.3391,0.2833,0.3294,69.44,86.76
14,learner,39,DMS-DLS,intermediate,4790,31,26,0,20,0.0149,0,0.0,-0.0157,-6,0.5081,0.4563,0.4463,0.3882,79.69,37.51
14,learner,39,DMS-DLS,expert,4206,31,26,0,20,0.1165,0,0.0,0.0367,2,0.5053,0.4492,0.41,0.3597,75.33,80.92
14,learner,39,DMS-ACC,naive,5899,31,23,0,20,0.0971,0,0.0,-0.0988,-4,0.4684,0.925,0.6201,0.6717,31.5,89.81
14,learner,39,DMS-ACC,intermediate,4790,31,23,0,20,0.0209,0,0.0,0.0521,8,0.4974,0.4552,0.4822,0.4636,84.31,63.35
14,learner,39,DMS-ACC,expert,4206,31,23,0,20,0.0948,0,0.0,-0.0585,2,0.4877,0.3601,0.5818,0.4408,88.4,89.91
14,learner,39,DLS-ACC,naive,5899,26,23,0,20,0.0005,0,0.0,0.071,9,0.4185,0.925,0.3926,0.5487,83.22,88.15
14,learner,39,DLS-ACC,intermediate,4790,26,23,0,20,0.0122,0,0.0,0.019,5,0.4529,0.4552,0.3495,0.3833,87.19,87.53
14,learner,39,DLS-ACC,expert,4206,26,23,0,20,0.025,0,0.0,0.0195,-5,0.4372,0.3601,0.3766,0.4425,87.2,79.62
