group,area,epoch,animal,reliability,shuffle,obs_minus_shuffle
Task (Spatial),ACC,Naive,15,0.606046009812941,0.131868478017211,0.47417753179573
Task (Spatial),ACC,Intermediate,1,0.388569682020468,0.0944517101397824,0.294117971880685
Task (Spatial),ACC,Intermediate,2,0.365623102705187,0.19436199710352,0.171261105601667
Task (Spatial),ACC,Intermediate,3,0.127936948743428,0.101258049045941,0.0266788996974872
Task (Spatial),ACC,Intermediate,4,0.164279905328596,0.0697881833985524,0.0944917219300432
Task (Spatial),ACC,Intermediate,5,0.165311704500154,0.0730279402208186,0.0922837642793352
Task (Spatial),ACC,Intermediate,6,0.262028257634007,0.100998919924585,0.161029337709422
Task (Spatial),ACC,Intermediate,7,0.217967426361372,0.175710487602319,0.0422569387590525
Task (Spatial),ACC,Intermediate,8,0.165618348971773,0.0460894848474915,0.119528864124281
Task (Spatial),ACC,Intermediate,9,0.137288521201779,0.0389795471142562,0.0983089740875231
Task (Spatial),ACC,Intermediate,10,0.12674930901822,0.0768030456357749,0.0499462633824451
Task (Spatial),ACC,Intermediate,11,0.135499481593827,0.0929823004373078,0.0425171811565193
Task (Spatial),ACC,Intermediate,13,0.155594977113677,0.0459000354382492,0.109694941675427
Task (Spatial),ACC,Intermediate,14,0.472619112009577,0.189357690949302,0.283261421060275
Task (Spatial),ACC,Intermediate,15,0.406995098015155,0.206851370723261,0.200143727291895
Task (Spatial),ACC,Expert,1,0.302145499535699,0.0964161471577844,0.205729352377915
Task (Spatial),ACC,Expert,2,0.35764929385297,0.131635097425058,0.226014196427912
Task (Spatial),ACC,Expert,3,0.143036532340463,0.0929166646146824,0.050119867725781
Task (Spatial),ACC,Expert,4,0.140167865368265,0.0908955260342982,0.0492723393339668
Task (Spatial),ACC,Expert,5,0.141783269337812,0.0855484047723266,0.0562348645654855
Task (Spatial),ACC,Expert,6,0.266614218126967,0.145267679757312,0.121346538369655
Task (Spatial),ACC,Expert,7,0.232246075752538,0.163598115309211,0.0686479604433275
Task (Spatial),ACC,Expert,8,0.136858169419359,0.0642662076903911,0.0725919617289675
Task (Spatial),ACC,Expert,9,0.138499313008804,0.0705783182550259,0.0679209947537777
Task (Spatial),ACC,Expert,10,0.138283661207186,0.10744851190444,0.030835149302746
Task (Spatial),ACC,Expert,11,0.0886599237919616,0.0737922735471819,0.0148676502447797
Task (Spatial),ACC,Expert,13,0.0519355317673853,0.0604884400734487,-0.00855290830606348
Task (Spatial),ACC,Expert,14,0.445836169121763,0.255870693418808,0.189965475702955
Task (Spatial),ACC,Expert,15,0.371198556041231,0.169900514414623,0.201298041626608
Task (Spatial),V1,Naive,9,0.0832618515445447,0.120238013481615,-0.03697616193707
Task (Spatial),V1,Naive,10,0.18754060177089,0.0638006185963204,0.123739983174569
Task (Spatial),V1,Naive,11,0.174165041149001,0.0979700695261777,0.0761949716228237
Task (Spatial),V1,Naive,13,0.199687772674828,0.0983889805287778,0.10129879214605
Task (Spatial),V1,Intermediate,9,0.151548975981466,0.0759506502002858,0.0755983257811799
Task (Spatial),V1,Intermediate,10,0.169660192842269,0.0372645631213768,0.132395629720892
Task (Spatial),V1,Intermediate,11,0.209356510605769,0.127386593831562,0.0819699167742075
Task (Spatial),V1,Intermediate,13,0.168011089229153,0.0978540846357751,0.0701570045933781
Task (Spatial),V1,Expert,9,0.166995134759102,0.0652584668584104,0.101736667900692
Task (Spatial),V1,Expert,10,0.141839205917157,0.0222991808965682,0.119540025020589
Task (Spatial),V1,Expert,11,0.203889862802765,0.0975210822671082,0.106368780535657
Task (Spatial),V1,Expert,13,0.142295057329919,0.105789230759038,0.0365058265708806
Task (Spatial),CA1,Naive,11,0.109201851462198,0.0653158859591888,0.0438859655030096
Task (Spatial),CA1,Naive,13,0.152820776780395,0.0974356565300157,0.0553851202503797
Task (Spatial),CA1,Intermediate,11,0.0839992524294232,0.0673019645144975,0.0166972879149256
Task (Spatial),CA1,Intermediate,13,0.136103198313321,0.0504481279258926,0.0856550703874288
Task (Spatial),CA1,Expert,11,0.0854561661526172,0.0949452859472613,-0.00948911979464409
Task (Spatial),CA1,Expert,13,0.118863902677408,0.0826834503532776,0.0361804523241305
Control 1 (Spatial),DMS,Naive,1,0.0580331222942404,0.00748468355022187,0.0505484387440185
Control 1 (Spatial),DMS,Naive,3,0.223910516983372,0.0122434205966001,0.211667096386772
Control 1 (Spatial),DMS,Naive,4,0.324259745618754,0.17572962490684,0.148530120711914
