group,condition,epoch,animal,decoding_error,norm_entropy
Control 1 (Spatial),No-DLS,Naive,1,0.35238254585103,0.483339942471866
Control 1 (Spatial),No-DLS,Naive,2,0.316649050292978,0.0589778092217023
Control 1 (Spatial),No-DLS,Naive,3,0.34673733791686,0.104504790825672
Control 1 (Spatial),No-DLS,Naive,4,0.37959212472267,0.17601086514558
Control 1 (Spatial),No-DLS,Naive,5,0.400098556709111,0.245118270900452
Control 1 (Spatial),No-DLS,Intermediate,1,0.329655753713359,0.513119232258303
Control 1 (Spatial),No-DLS,Intermediate,2,0.233183775219029,0.0485277640115126
Control 1 (Spatial),No-DLS,Intermediate,3,0.286776407306032,0.119378723551812
Control 1 (Spatial),No-DLS,Intermediate,4,0.356360559899057,0.22570839319587
Control 1 (Spatial),No-DLS,Intermediate,5,0.350903834991403,0.238241651548095
Control 1 (Spatial),No-DLS,Expert,1,0.318865970684836,0.511844209814752
Control 1 (Spatial),No-DLS,Expert,2,0.243891051963744,0.0460272020533088
Control 1 (Spatial),No-DLS,Expert,3,0.302096129025567,0.106936812021939
Control 1 (Spatial),No-DLS,Expert,4,0.354512508279717,0.251539767644302
Control 1 (Spatial),No-DLS,Expert,5,0.37071433167463,0.245189502845023
Control 1 (Spatial),No-ACC,Naive,1,0.383337458668663,0.175118122580336
Control 1 (Spatial),No-ACC,Naive,2,0.348844205683493,0.0643094017404532
Control 1 (Spatial),No-ACC,Naive,3,0.382095867774083,0.120164518201465
Control 1 (Spatial),No-ACC,Naive,4,0.354296645467835,0.140299082087091
Control 1 (Spatial),No-ACC,Naive,5,0.363597562689823,0.124159719834317
Control 1 (Spatial),No-ACC,Intermediate,1,0.328826402324638,0.178475668137696
Control 1 (Spatial),No-ACC,Intermediate,2,0.26133703373246,0.0663165229606249
Control 1 (Spatial),No-ACC,Intermediate,3,0.280311866128606,0.15139299451273
Control 1 (Spatial),No-ACC,Intermediate,4,0.345923231358867,0.182726336116678
Control 1 (Spatial),No-ACC,Intermediate,5,0.35080311686713,0.140377137155112
Control 1 (Spatial),No-ACC,Expert,1,0.329899590172939,0.179692510260064
Control 1 (Spatial),No-ACC,Expert,2,0.277622053173162,0.0560669021069979
Control 1 (Spatial),No-ACC,Expert,3,0.305167661403248,0.150620370734594
Control 1 (Spatial),No-ACC,Expert,4,0.314669027625652,0.216035691742364
Control 1 (Spatial),No-ACC,Expert,5,0.363497745167246,0.142365255903854
Control 1 (Spatial),No-V1,Naive,1,0.383337458668663,0.175118122580336
Control 1 (Spatial),No-V1,Naive,2,0.370596300052529,0.0678720962303436
Control 1 (Spatial),No-V1,Naive,3,0.367570528397424,0.149591619419498
Control 1 (Spatial),No-V1,Naive,4,0.386310856363308,0.234095330327518
Control 1 (Spatial),No-V1,Naive,5,0.352971276501777,0.101120570892557
